,Start,End
0,2016-11-04 10:34:49.975815,2016-11-04 10:34:50.089821
1,2016-11-04 10:34:50.156296,2016-11-04 10:34:50.225365
2,2016-11-04 10:34:50.293674,2016-11-04 10:34:50.364551
3,2016-11-04 10:34:50.432244,2016-11-04 10:34:50.499279
4,2016-11-04 10:34:50.565121,2016-11-04 10:34:50.632220
5,2016-11-04 10:34:50.699311,2016-11-04 10:34:50.770480
6,2016-11-04 10:34:50.838611,2016-11-04 10:34:50.906307
7,2016-11-04 10:34:50.972676,2016-11-04 10:34:51.040333
8,2016-11-04 10:34:51.109927,2016-11-04 10:34:51.180944
9,2016-11-04 10:34:51.249251,2016-11-04 10:34:51.316979
10,2016-11-04 10:34:51.386628,2016-11-04 10:34:51.526870
11,2016-11-04 10:34:51.596512,2016-11-04 10:34:51.665870
12,2016-11-04 10:34:51.730231,2016-11-04 10:34:51.795760
13,2016-11-04 10:34:51.868774,2016-11-04 10:34:51.938314
14,2016-11-04 10:34:52.005675,2016-11-04 10:34:52.076102
15,2016-11-04 10:34:52.144672,2016-11-04 10:34:52.211347
16,2016-11-04 10:34:52.280980,2016-11-04 10:34:52.346869
17,2016-11-04 10:34:52.412761,2016-11-04 10:34:52.480964
18,2016-11-04 10:34:52.545913,2016-11-04 10:34:52.616122
19,2016-11-04 10:34:52.682424,2016-11-04 10:34:52.750193
20,2016-11-04 10:34:52.815408,2016-11-04 10:34:52.885152
21,2016-11-04 10:34:52.952742,2016-11-04 10:34:53.024163
22,2016-11-04 10:34:53.099187,2016-11-04 10:34:53.169787
23,2016-11-04 10:34:53.241136,2016-11-04 10:34:53.308629
24,2016-11-04 10:34:53.376717,2016-11-04 10:34:53.441885
25,2016-11-04 10:34:53.509129,2016-11-04 10:34:53.576733
26,2016-11-04 10:34:53.644229,2016-11-04 10:34:53.710978
27,2016-11-04 10:34:53.778170,2016-11-04 10:34:53.848182
28,2016-11-04 10:34:53.914333,2016-11-04 10:34:53.982720
29,2016-11-04 10:34:54.049925,2016-11-04 10:34:54.118365
30,2016-11-04 10:34:54.188134,2016-11-04 10:34:54.260080
31,2016-11-04 10:34:54.327937,2016-11-04 10:34:54.394222
32,2016-11-04 10:34:54.461732,2016-11-04 10:34:54.530545
33,2016-11-04 10:34:54.596602,2016-11-04 10:34:54.665312
34,2016-11-04 10:34:54.733353,2016-11-04 10:34:54.801535
35,2016-11-04 10:34:54.873730,2016-11-04 10:34:54.944539
36,2016-11-04 10:34:55.012859,2016-11-04 10:34:55.093943
37,2016-11-04 10:34:55.169112,2016-11-04 10:34:55.241171
38,2016-11-04 10:34:55.311369,2016-11-04 10:34:55.378497
39,2016-11-04 10:34:55.446942,2016-11-04 10:34:55.519159
40,2016-11-04 10:34:55.585795,2016-11-04 10:34:55.657040
41,2016-11-04 10:34:55.732780,2016-11-04 10:34:55.802827
42,2016-11-04 10:34:55.872634,2016-11-04 10:34:55.942347
43,2016-11-04 10:34:56.014216,2016-11-04 10:34:56.082762
44,2016-11-04 10:34:56.149679,2016-11-04 10:34:56.219017
45,2016-11-04 10:34:56.289459,2016-11-04 10:34:56.365401
46,2016-11-04 10:34:56.432581,2016-11-04 10:34:56.501503
47,2016-11-04 10:34:56.585060,2016-11-04 10:34:56.656398
48,2016-11-04 10:34:56.727029,2016-11-04 10:34:56.794922
49,2016-11-04 10:34:56.865516,2016-11-04 10:34:56.934185
50,2016-11-04 10:34:57.003475,2016-11-04 10:34:57.073582
51,2016-11-04 10:34:57.169539,2016-11-04 10:34:57.244079
52,2016-11-04 10:34:57.311157,2016-11-04 10:34:57.377678
53,2016-11-04 10:34:57.442071,2016-11-04 10:34:57.523469
54,2016-11-04 10:34:57.598052,2016-11-04 10:34:57.664871
55,2016-11-04 10:34:57.731807,2016-11-04 10:34:57.797653
56,2016-11-04 10:34:57.865339,2016-11-04 10:34:57.932608
57,2016-11-04 10:34:57.998753,2016-11-04 10:34:58.065465
58,2016-11-04 10:34:58.130550,2016-11-04 10:34:58.196972
59,2016-11-04 10:34:58.266674,2016-11-04 10:34:58.335779
60,2016-11-04 10:34:58.402891,2016-11-04 10:34:58.467330
61,2016-11-04 10:34:58.530326,2016-11-04 10:34:58.593726
62,2016-11-04 10:34:58.660165,2016-11-04 10:34:58.727723
63,2016-11-04 10:34:58.797517,2016-11-04 10:34:58.864573
64,2016-11-04 10:34:58.936397,2016-11-04 10:34:59.004727
65,2016-11-04 10:34:59.078209,2016-11-04 10:34:59.147759
66,2016-11-04 10:34:59.214859,2016-11-04 10:34:59.287273
67,2016-11-04 10:34:59.350613,2016-11-04 10:34:59.418254
68,2016-11-04 10:34:59.482714,2016-11-04 10:34:59.547106
69,2016-11-04 10:34:59.614892,2016-11-04 10:34:59.684045
70,2016-11-04 10:34:59.750412,2016-11-04 10:34:59.817387
71,2016-11-04 10:34:59.882160,2016-11-04 10:34:59.948352
72,2016-11-04 10:35:00.015764,2016-11-04 10:35:00.068128
73,2016-11-04 10:35:00.148236,2016-11-04 10:35:00.212789
74,2016-11-04 10:35:00.280595,2016-11-04 10:35:00.344908
75,2016-11-04 10:35:00.409627,2016-11-04 10:35:00.478911
76,2016-11-04 10:35:00.544601,2016-11-04 10:35:00.614287
77,2016-11-04 10:35:00.680408,2016-11-04 10:35:00.745300
78,2016-11-04 10:35:00.811732,2016-11-04 10:35:00.877991
79,2016-11-04 10:35:00.944643,2016-11-04 10:35:01.010240
